StockSymbol,V,,,,,,
Description,Visa,,,,,,
,,,,,,,
Row Labels,Sum of Open,Sum of High,Sum of Low,Sum of Close,Sum of Volume, Volume Trend,Yearly Change
2012,"£3,534",3561.91,3511.94,3538.53,1142208800,,
Qtr3,"£1,304",1313.2,1295.93,1305.41,448394400,,
Qtr4,"£2,230",2248.71,2216.01,2233.12,693814400,,
2013,"£11,365","£11,460",11276.38,11371.24,3259514400,,223.24%
2014,"£13,977",14079.5,13871.61,13975.21,2946979200,,23.83%
2015,"£17,836",17980.66,17668.61,17829.03,2241963600,,28.52%
2016,"£19,631",19779.86,19479.54,19631.63,2394317100,,11.10%
Qtr1,"£4,430",4475.05,4378.55,4431.9,669993800,,
Jan,"£1,388",1404.23,1368.22,1386,260402300,,
Feb,"£1,433",1449.44,1414.67,1433.87,213972400,,
Mar,"£1,609",1621.38,1595.66,1612.03,195619100,,
Qtr2,"£5,010",5048.14,4974.22,5011.04,553962500,,
Qtr3,"£5,118",5150.31,5091.58,5123.78,511999200,,305.13%
Qtr4,"£5,074",5106.36,5035.19,5064.91,658361600,,134.17%
2017,"£24,520",24650.4,24383.32,24527.42,1927191200,,25.91%
2018,"£33,303",33594.07,32973.57,33289.98,2147651800,,36.63%
2019,"£42,020",42315.88,41696.16,42036.56,1904919000,,27.12%
2020,"£23,563",23919.81,23218.89,23578.53,1460506000,,-43.65%
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
